name,length,avg_gradient,steepest_section,elevation_gain,duration,latitude,longitude,url
Gracht Burggraaf vanuit Gulpen,De Gracht Burggraaf vanuit Gulpen is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Gracht Burggraaf vanuit Gulpen is 4%.,De steilste 100 meter van de Gracht Burggraaf vanuit Gulpen zijn gemiddeld 6.5%.,De top van de Gracht Burggraaf vanuit Gulpen ligt op 111 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:27 over de Gracht Burggraaf vanuit Gulpen. Bij 11 km/u is de tijd 00:02:12 en bij 15 km/u 00:01:36. Voor de snelste fietsers is 00:01:16 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/gracht-burggraaf-gulpen
Woudweg vanuit Bergen aan Zee,De Woudweg vanuit Bergen aan Zee is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Woudweg vanuit Bergen aan Zee is 1.6%.,De steilste 100 meter van de Woudweg vanuit Bergen aan Zee zijn gemiddeld 3.7%.,De top van de Woudweg vanuit Bergen aan Zee ligt op 21 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:01 over de Woudweg vanuit Bergen aan Zee. Bij 11 km/u is de tijd 00:05:44 en bij 15 km/u 00:04:12. Voor de snelste fietsers is 00:03:19 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/woudweg-bergen-aan-zee
Herikerberg vanuit Markelo,De Herikerberg vanuit Markelo is 1.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Herikerberg vanuit Markelo is 2.3%.,De steilste 100 meter van de Herikerberg vanuit Markelo zijn gemiddeld 4.1%.,De top van de Herikerberg vanuit Markelo ligt op 47 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:11:08 over de Herikerberg vanuit Markelo. Bij 11 km/u is de tijd 00:07:05 en bij 15 km/u 00:05:11. Voor de snelste fietsers is 00:04:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/herikerberg-markelo
Watersley,De Watersley is 0.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Watersley is 9.5%.,De steilste 100 meter van de Watersley zijn gemiddeld 13.4%.,De top van de Watersley ligt op 90 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:02:32 over de Watersley. Bij 11 km/u is de tijd 00:01:36 en bij 15 km/u 00:01:11. Voor de snelste fietsers is 00:00:56 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/watersley
Kaagweg vanuit Meeuwenweg,De Kaagweg vanuit Meeuwenweg is 0.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Kaagweg vanuit Meeuwenweg is 6.4%.,De steilste 100 meter van de Kaagweg vanuit Meeuwenweg zijn gemiddeld 8.8%.,De top van de Kaagweg vanuit Meeuwenweg ligt op 22 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:01:39 over de Kaagweg vanuit Meeuwenweg. Bij 11 km/u is de tijd 00:01:03 en bij 15 km/u 00:00:46. Voor de snelste fietsers is 00:00:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kaagweg
Hezerberg via Tubbergerdijk,De Hezerberg via Tubbergerdijk is 2.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Hezerberg via Tubbergerdijk is 1.1%.,De steilste 100 meter van de Hezerberg via Tubbergerdijk zijn gemiddeld 3.4%.,De top van de Hezerberg via Tubbergerdijk ligt op 60 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:23:35 over de Hezerberg via Tubbergerdijk. Bij 11 km/u is de tijd 00:15:00 en bij 15 km/u 00:11:00. Voor de snelste fietsers is 00:08:41 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hezerberg-tubbergerdijk
Keizerskop / Klein Amerika via Knapheideweg,De Keizerskop / Klein Amerika via Knapheideweg is 1.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Keizerskop / Klein Amerika via Knapheideweg is 2.1%.,De steilste 100 meter van de Keizerskop / Klein Amerika via Knapheideweg zijn gemiddeld 4.7%.,De top van de Keizerskop / Klein Amerika via Knapheideweg ligt op 68 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:11:43 over de Keizerskop / Klein Amerika via Knapheideweg. Bij 11 km/u is de tijd 00:07:27 en bij 15 km/u 00:05:28. Voor de snelste fietsers is 00:04:19 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/keizerskop-klein-amerika-knapheideweg
Pietersberg via Kneppelhoutweg,De Pietersberg via Kneppelhoutweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Pietersberg via Kneppelhoutweg is 4%.,De steilste 100 meter van de Pietersberg via Kneppelhoutweg zijn gemiddeld 8.4%.,De top van de Pietersberg via Kneppelhoutweg ligt op 56 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:26 over de Pietersberg via Kneppelhoutweg. Bij 11 km/u is de tijd 00:04:44 en bij 15 km/u 00:03:28. Voor de snelste fietsers is 00:02:44 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/pietersberg-kneppelhoutlaan
De Genestetlaan via Schout Leermolenstraat,De De Genestetlaan via Schout Leermolenstraat is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de De Genestetlaan via Schout Leermolenstraat is 3.6%.,De steilste 100 meter van de De Genestetlaan via Schout Leermolenstraat zijn gemiddeld 6.6%.,De top van de De Genestetlaan via Schout Leermolenstraat ligt op 55 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:28 over de De Genestetlaan via Schout Leermolenstraat. Bij 11 km/u is de tijd 00:04:07 en bij 15 km/u 00:03:01. Voor de snelste fietsers is 00:02:23 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rozendaal-schout-leermolenstraat
Groot Welsden via Hareweg,De Groot Welsden via Hareweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Groot Welsden via Hareweg is 2.4%.,De steilste 100 meter van de Groot Welsden via Hareweg zijn gemiddeld 7.4%.,De top van de Groot Welsden via Hareweg ligt op 153 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:22 over de Groot Welsden via Hareweg. Bij 11 km/u is de tijd 00:04:41 en bij 15 km/u 00:03:26. Voor de snelste fietsers is 00:02:42 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/groot-welsden-hareweg
De Klos vanuit Derdebaan,De De Klos vanuit Derdebaan is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de De Klos vanuit Derdebaan is 3.5%.,De steilste 100 meter van de De Klos vanuit Derdebaan zijn gemiddeld 6%.,De top van de De Klos vanuit Derdebaan ligt op 51 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:37 over de De Klos vanuit Derdebaan. Bij 11 km/u is de tijd 00:02:18 en bij 15 km/u 00:01:41. Voor de snelste fietsers is 00:01:20 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/de-klos-derdebaan
Duinvoetweg vanuit Schoorlse Zeeweg,De Duinvoetweg vanuit Schoorlse Zeeweg is 0.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Duinvoetweg vanuit Schoorlse Zeeweg is 6.4%.,De steilste 100 meter van de Duinvoetweg vanuit Schoorlse Zeeweg zijn gemiddeld 7.3%.,De top van de Duinvoetweg vanuit Schoorlse Zeeweg ligt op 26 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:01:56 over de Duinvoetweg vanuit Schoorlse Zeeweg. Bij 11 km/u is de tijd 00:01:14 en bij 15 km/u 00:00:54. Voor de snelste fietsers is 00:00:43 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/duinvoetweg-schoorlse-zeeweg
Aardaker via Oude Maastrichterweg,De Aardaker via Oude Maastrichterweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Aardaker via Oude Maastrichterweg is 4.7%.,De steilste 100 meter van de Aardaker via Oude Maastrichterweg zijn gemiddeld 6.8%.,De top van de Aardaker via Oude Maastrichterweg ligt op 140 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:42 over de Aardaker via Oude Maastrichterweg. Bij 11 km/u is de tijd 00:04:54 en bij 15 km/u 00:03:35. Voor de snelste fietsers is 00:02:50 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/aardaker-oude-maastrichterweg
Ketelberg / Luciaweg vanuit Heilig Landstichting,De Ketelberg / Luciaweg vanuit Heilig Landstichting is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Ketelberg / Luciaweg vanuit Heilig Landstichting is 2.6%.,De steilste 100 meter van de Ketelberg / Luciaweg vanuit Heilig Landstichting zijn gemiddeld 4.7%.,De top van de Ketelberg / Luciaweg vanuit Heilig Landstichting ligt op 71 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:52 over de Ketelberg / Luciaweg vanuit Heilig Landstichting. Bij 11 km/u is de tijd 00:06:17 en bij 15 km/u 00:04:36. Voor de snelste fietsers is 00:03:38 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/luciaweg-heilig-landstichting
Bronkweg vanuit Eckelrade,De Bronkweg vanuit Eckelrade is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Bronkweg vanuit Eckelrade is 2.6%.,De steilste 100 meter van de Bronkweg vanuit Eckelrade zijn gemiddeld 5.6%.,De top van de Bronkweg vanuit Eckelrade ligt op 163 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:02 over de Bronkweg vanuit Eckelrade. Bij 11 km/u is de tijd 00:06:23 en bij 15 km/u 00:04:41. Voor de snelste fietsers is 00:03:41 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/bruisterbosch-eckelrade
Uitzichtheuvel Spaarnwoude Zuidoost,De Uitzichtheuvel Spaarnwoude Zuidoost is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Uitzichtheuvel Spaarnwoude Zuidoost is 2.2%.,De steilste 100 meter van de Uitzichtheuvel Spaarnwoude Zuidoost zijn gemiddeld 4.9%.,De top van de Uitzichtheuvel Spaarnwoude Zuidoost ligt op 12 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:20 over de Uitzichtheuvel Spaarnwoude Zuidoost. Bij 11 km/u is de tijd 00:02:45 en bij 15 km/u 00:02:01. Voor de snelste fietsers is 00:01:36 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/uitzichtheuvel-spaarnwoude-zuidoost
D'n Drul via Wylerbaan,De D'n Drul via Wylerbaan is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de D'n Drul via Wylerbaan is 2.5%.,De steilste 100 meter van de D'n Drul via Wylerbaan zijn gemiddeld 4.3%.,De top van de D'n Drul via Wylerbaan ligt op 36 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:33 over de D'n Drul via Wylerbaan. Bij 11 km/u is de tijd 00:03:32 en bij 15 km/u 00:02:35. Voor de snelste fietsers is 00:02:02 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/drul-wylerbaan
Rodeputserveldweg vanuit Waalbroek,De Rodeputserveldweg vanuit Waalbroek is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Rodeputserveldweg vanuit Waalbroek is 4.2%.,De steilste 100 meter van de Rodeputserveldweg vanuit Waalbroek zijn gemiddeld 6.5%.,De top van de Rodeputserveldweg vanuit Waalbroek ligt op 172 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:50 over de Rodeputserveldweg vanuit Waalbroek. Bij 11 km/u is de tijd 00:03:04 en bij 15 km/u 00:02:15. Voor de snelste fietsers is 00:01:47 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/rodeputserveldweg-waalbroek
De Uitkijk vanuit Nijverdal,De De Uitkijk vanuit Nijverdal is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de De Uitkijk vanuit Nijverdal is 2.7%.,De steilste 100 meter van de De Uitkijk vanuit Nijverdal zijn gemiddeld 5.1%.,De top van de De Uitkijk vanuit Nijverdal ligt op 40 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:38 over de De Uitkijk vanuit Nijverdal. Bij 11 km/u is de tijd 00:05:30 en bij 15 km/u 00:04:02. Voor de snelste fietsers is 00:03:11 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/de-uitkijk-nijverdal
Vierwindenlaan,De Vierwindenlaan is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Vierwindenlaan is 2.8%.,De steilste 100 meter van de Vierwindenlaan zijn gemiddeld 5.7%.,De top van de Vierwindenlaan ligt op 17 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:40 over de Vierwindenlaan. Bij 11 km/u is de tijd 00:02:20 en bij 15 km/u 00:01:42. Voor de snelste fietsers is 00:01:21 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vierwindenlaan
Dobbelmannduin via Prins Hendrikweg,De Dobbelmannduin via Prins Hendrikweg is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Dobbelmannduin via Prins Hendrikweg is 2.8%.,De steilste 100 meter van de Dobbelmannduin via Prins Hendrikweg zijn gemiddeld 5.6%.,De top van de Dobbelmannduin via Prins Hendrikweg ligt op 21 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:55 over de Dobbelmannduin via Prins Hendrikweg. Bij 11 km/u is de tijd 00:03:07 en bij 15 km/u 00:02:17. Voor de snelste fietsers is 00:01:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/dobbelmannduin-prins-hendrikweg
Stoppelenberg vanuit Beekbergen,De Stoppelenberg vanuit Beekbergen is 2.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Stoppelenberg vanuit Beekbergen is 1.6%.,De steilste 100 meter van de Stoppelenberg vanuit Beekbergen zijn gemiddeld 4.4%.,De top van de Stoppelenberg vanuit Beekbergen ligt op 56 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:20:06 over de Stoppelenberg vanuit Beekbergen. Bij 11 km/u is de tijd 00:12:47 en bij 15 km/u 00:09:22. Voor de snelste fietsers is 00:07:24 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/stoppelenberg-beekbergen
Profetenlaan via Rechterslaan,De Profetenlaan via Rechterslaan is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Profetenlaan via Rechterslaan is 4.3%.,De steilste 100 meter van de Profetenlaan via Rechterslaan zijn gemiddeld 7.9%.,De top van de Profetenlaan via Rechterslaan ligt op 67 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:22 over de Profetenlaan via Rechterslaan. Bij 11 km/u is de tijd 00:03:25 en bij 15 km/u 00:02:30. Voor de snelste fietsers is 00:01:58 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/profetenlaan-rechterslaan
Julianalaan / Galgenberg via Kwakkenberglaan,De Julianalaan / Galgenberg via Kwakkenberglaan is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Julianalaan / Galgenberg via Kwakkenberglaan is 3.8%.,De steilste 100 meter van de Julianalaan / Galgenberg via Kwakkenberglaan zijn gemiddeld 7.3%.,De top van de Julianalaan / Galgenberg via Kwakkenberglaan ligt op 91 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:14 over de Julianalaan / Galgenberg via Kwakkenberglaan. Bij 11 km/u is de tijd 00:02:04 en bij 15 km/u 00:01:30. Voor de snelste fietsers is 00:01:11 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/koningin-julianalaan-kwakkenberglaan
Mijnbouwstraat via Raambouwstraat,De Mijnbouwstraat via Raambouwstraat is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Mijnbouwstraat via Raambouwstraat is 3.6%.,De steilste 100 meter van de Mijnbouwstraat via Raambouwstraat zijn gemiddeld 4.7%.,De top van de Mijnbouwstraat via Raambouwstraat ligt op 111 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:43 over de Mijnbouwstraat via Raambouwstraat. Bij 11 km/u is de tijd 00:03:00 en bij 15 km/u 00:02:12. Voor de snelste fietsers is 00:01:44 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/mijnbouwstraat-raambouwstraat
Vink vanuit Wijnandsrade,De Vink vanuit Wijnandsrade is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Vink vanuit Wijnandsrade is 3.3%.,De steilste 100 meter van de Vink vanuit Wijnandsrade zijn gemiddeld 5.5%.,De top van de Vink vanuit Wijnandsrade ligt op 121 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:14 over de Vink vanuit Wijnandsrade. Bij 11 km/u is de tijd 00:04:36 en bij 15 km/u 00:03:22. Voor de snelste fietsers is 00:02:40 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vink-wijnandsrade
Jeugrubbe via Randweg,De Jeugrubbe via Randweg is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Jeugrubbe via Randweg is 5%.,De steilste 100 meter van de Jeugrubbe via Randweg zijn gemiddeld 7.8%.,De top van de Jeugrubbe via Randweg ligt op 113 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:59 over de Jeugrubbe via Randweg. Bij 11 km/u is de tijd 00:03:10 en bij 15 km/u 00:02:19. Voor de snelste fietsers is 00:01:50 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/jeugrubbe-randweg
Verspyckweg vanuit Bergen aan Zee,De Verspyckweg vanuit Bergen aan Zee is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Verspyckweg vanuit Bergen aan Zee is 3.1%.,De steilste 100 meter van de Verspyckweg vanuit Bergen aan Zee zijn gemiddeld 8.1%.,De top van de Verspyckweg vanuit Bergen aan Zee ligt op 30 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:34 over de Verspyckweg vanuit Bergen aan Zee. Bij 11 km/u is de tijd 00:04:49 en bij 15 km/u 00:03:32. Voor de snelste fietsers is 00:02:47 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/verspyckweg-bergen-aan-zee
Douvenderweg vanuit Oirsbeek,De Douvenderweg vanuit Oirsbeek is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Douvenderweg vanuit Oirsbeek is 2.7%.,De steilste 100 meter van de Douvenderweg vanuit Oirsbeek zijn gemiddeld 3.8%.,De top van de Douvenderweg vanuit Oirsbeek ligt op 107 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:39 over de Douvenderweg vanuit Oirsbeek. Bij 11 km/u is de tijd 00:04:52 en bij 15 km/u 00:03:34. Voor de snelste fietsers is 00:02:49 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/douvenderweg-oirsbeek
Hommert vanuit Amstenrade,De Hommert vanuit Amstenrade is 0.8 kilometer lang.,Het gemiddelde stijgingspercentage van de Hommert vanuit Amstenrade is 2.2%.,De steilste 100 meter van de Hommert vanuit Amstenrade zijn gemiddeld 3.6%.,De top van de Hommert vanuit Amstenrade ligt op 107 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:08 over de Hommert vanuit Amstenrade. Bij 11 km/u is de tijd 00:04:32 en bij 15 km/u 00:03:19. Voor de snelste fietsers is 00:02:37 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/hommerter-allee-amstenrade
Kerkesteeg vanuit Groot Welsden,De Kerkesteeg vanuit Groot Welsden is 1.1 kilometer lang.,Het gemiddelde stijgingspercentage van de Kerkesteeg vanuit Groot Welsden is 2.9%.,De steilste 100 meter van de Kerkesteeg vanuit Groot Welsden zijn gemiddeld 4.9%.,De top van de Kerkesteeg vanuit Groot Welsden ligt op 174 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:09:21 over de Kerkesteeg vanuit Groot Welsden. Bij 11 km/u is de tijd 00:05:57 en bij 15 km/u 00:04:22. Voor de snelste fietsers is 00:03:26 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kerkesteeg-groot-welsden
Wienweg via Platsmolenweg,De Wienweg via Platsmolenweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Wienweg via Platsmolenweg is 5.3%.,De steilste 100 meter van de Wienweg via Platsmolenweg zijn gemiddeld 7.1%.,De top van de Wienweg via Platsmolenweg ligt op 97 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:13 over de Wienweg via Platsmolenweg. Bij 11 km/u is de tijd 00:02:03 en bij 15 km/u 00:01:30. Voor de snelste fietsers is 00:01:11 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/wienweg-platsmolenweg
Kolonieweg vanuit Dieren,De Kolonieweg vanuit Dieren is 0.5 kilometer lang.,Het gemiddelde stijgingspercentage van de Kolonieweg vanuit Dieren is 3.8%.,De steilste 100 meter van de Kolonieweg vanuit Dieren zijn gemiddeld 5.4%.,De top van de Kolonieweg vanuit Dieren ligt op 46 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:00 over de Kolonieweg vanuit Dieren. Bij 11 km/u is de tijd 00:02:33 en bij 15 km/u 00:01:52. Voor de snelste fietsers is 00:01:28 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kolonieweg-dieren
Kathagen via Naanhofsweg,De Kathagen via Naanhofsweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Kathagen via Naanhofsweg is 4%.,De steilste 100 meter van de Kathagen via Naanhofsweg zijn gemiddeld 5.1%.,De top van de Kathagen via Naanhofsweg ligt op 91 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:11 over de Kathagen via Naanhofsweg. Bij 11 km/u is de tijd 00:02:02 en bij 15 km/u 00:01:29. Voor de snelste fietsers is 00:01:10 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kathagen-naanhofsweg
Oude Kluizeweg via Kluizeweg,De Oude Kluizeweg via Kluizeweg is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Oude Kluizeweg via Kluizeweg is 3.3%.,De steilste 100 meter van de Oude Kluizeweg via Kluizeweg zijn gemiddeld 6.4%.,De top van de Oude Kluizeweg via Kluizeweg ligt op 84 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:28 over de Oude Kluizeweg via Kluizeweg. Bij 11 km/u is de tijd 00:05:23 en bij 15 km/u 00:03:57. Voor de snelste fietsers is 00:03:07 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/oude-kluizeweg-kluizeweg
Nieuwe Keijenbergseweg vanuit Renkums Beekdal,De Nieuwe Keijenbergseweg vanuit Renkums Beekdal is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Nieuwe Keijenbergseweg vanuit Renkums Beekdal is 1.6%.,De steilste 100 meter van de Nieuwe Keijenbergseweg vanuit Renkums Beekdal zijn gemiddeld 4.7%.,De top van de Nieuwe Keijenbergseweg vanuit Renkums Beekdal ligt op 28 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:20 over de Nieuwe Keijenbergseweg vanuit Renkums Beekdal. Bij 11 km/u is de tijd 00:05:18 en bij 15 km/u 00:03:53. Voor de snelste fietsers is 00:03:04 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/nieuwe-keijenbergseweg-renkums-beekdal
Schuureikenweg vanuit Randweg,De Schuureikenweg vanuit Randweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Schuureikenweg vanuit Randweg is 6.3%.,De steilste 100 meter van de Schuureikenweg vanuit Randweg zijn gemiddeld 11.8%.,De top van de Schuureikenweg vanuit Randweg ligt op 105 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:08 over de Schuureikenweg vanuit Randweg. Bij 11 km/u is de tijd 00:01:59 en bij 15 km/u 00:01:27. Voor de snelste fietsers is 00:01:09 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/schuureikenweg-randweg
Beethovenlaan vanuit Dalweg,De Beethovenlaan vanuit Dalweg is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Beethovenlaan vanuit Dalweg is 2.8%.,De steilste 100 meter van de Beethovenlaan vanuit Dalweg zijn gemiddeld 4.1%.,De top van de Beethovenlaan vanuit Dalweg ligt op 56 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:05:15 over de Beethovenlaan vanuit Dalweg. Bij 11 km/u is de tijd 00:03:20 en bij 15 km/u 00:02:27. Voor de snelste fietsers is 00:01:56 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/beethovenlaan-dalweg
Peter van Anrooylaan vanuit De Wolflaan,De Peter van Anrooylaan vanuit De Wolflaan is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Peter van Anrooylaan vanuit De Wolflaan is 4.8%.,De steilste 100 meter van de Peter van Anrooylaan vanuit De Wolflaan zijn gemiddeld 7.5%.,De top van de Peter van Anrooylaan vanuit De Wolflaan ligt op 81 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:11 over de Peter van Anrooylaan vanuit De Wolflaan. Bij 11 km/u is de tijd 00:02:02 en bij 15 km/u 00:01:29. Voor de snelste fietsers is 00:01:10 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/peter-van-anrooylaan-de-wolflaan
Schoorlse Zeeweg,De Schoorlse Zeeweg is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Schoorlse Zeeweg is 2.7%.,De steilste 100 meter van de Schoorlse Zeeweg zijn gemiddeld 5.7%.,De top van de Schoorlse Zeeweg ligt op 31 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:12 over de Schoorlse Zeeweg. Bij 11 km/u is de tijd 00:03:56 en bij 15 km/u 00:02:53. Voor de snelste fietsers is 00:02:17 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/schoorlse-zeeweg
Kaalheide via Krichelbergsweg,De Kaalheide via Krichelbergsweg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Kaalheide via Krichelbergsweg is 5.2%.,De steilste 100 meter van de Kaalheide via Krichelbergsweg zijn gemiddeld 8.1%.,De top van de Kaalheide via Krichelbergsweg ligt op 154 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:46 over de Kaalheide via Krichelbergsweg. Bij 11 km/u is de tijd 00:02:24 en bij 15 km/u 00:01:45. Voor de snelste fietsers is 00:01:23 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kaalheide-krichelbergsweg
Jan van Arkelweg via Spoorbaanweg,De Jan van Arkelweg via Spoorbaanweg is 0.6 kilometer lang.,Het gemiddelde stijgingspercentage van de Jan van Arkelweg via Spoorbaanweg is 3.2%.,De steilste 100 meter van de Jan van Arkelweg via Spoorbaanweg zijn gemiddeld 5.8%.,De top van de Jan van Arkelweg via Spoorbaanweg ligt op 47 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:04:55 over de Jan van Arkelweg via Spoorbaanweg. Bij 11 km/u is de tijd 00:03:08 en bij 15 km/u 00:02:18. Voor de snelste fietsers is 00:01:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/jan-van-arkelweg-spoorbaanweg
